nm0137140,BaL1
xs15295,RiQ6
xs8508,CDr30
xs16751,VDa10
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs12203,JIv51
xs9092,DME13
xs5979,BaP10
xs5979,IrR50
xs5979,IrR50
xs5979,IrR50
xs5979,JWa2
xs8293,CAL20
xs8293,CAL25
xs8293,DuC10
xs8293,GoH54
xs8293,HyC10
xs8293,JD14
xs8293,JD14
xs8293,MLR50
xs8293,RiQ23
xs11714,IPC25
xs11714,IPC25
xs11714,IPC25
xs7192,AiN10
xs5714,HKo41
xs5714,JaS48
xs5714,JFC10
xs5714,JaS48
xs5714,JFC10
xs5714,SaF13
xs14098,MVP20
xs10027,FrW1
xs10027,FrW10
xs608,DHe10
xs608,GDo79
xs608,LGr10
xs608,PeS10
xs6984,ACj121
xs6984,AKj14
xs6065,PaH115
xs14140,MZ15
xs11351,ICa20
xs12224,JJB1
xs12224,JJB1
xs17402,Z8610
xs10778,H37
xs12901,KeC1
xs13560,MeG40
xs13891,MP19
xs7809,BdP2
xs9285,DZu12
xs14524,PaP15
xs406,ML8
xs406,RWi9
xs406,SK6
xs406,SRo3
xs406,WKH45
xs6164,AMi15
xs6164,IAv7
xs6164,MNe25
xs6164,PhH13
xs6164,RR5
xs7199,AJP1
xs12181,JIv8
xs12181,JIv8
xs9795,FFC9
xs9795,JJB10
xs9795,JJB10
xs9795,PSy10
xs9795,RoP10
nm0001552,ASi10
nm0001552,GRH5
xs9283,DZu12
xs12438,JnL18
xs10739,H10
xs3853,FZ13
xs267,SiN10
xs11342,IBo5
xs16569,THu25
xs11590,ILd10
xs11590,ILd10
xs11590,ILd10
xs15333,RLl18
xs14220,NJ12
xs3179,JaK4
xs3179,JaK4
nm0001298,MKb10
xs9250,DvS10
xs14465,PaH61
xs14414,OP30
xs992,LMg10
xs9145,DoW97
xs9145,RoS68
xs7612,ASh10
xs7612,EZw1
xs7612,FFC26
xs7612,JDB11
xs7612,JiA15
xs7612,JDB11
xs7612,JiA15
xs7612,MB22
xs7612,RbR3
xs7612,TNu10
xs7612,ToS10
xs14586,PeS5
xs4902,AAl20
xs4902,AKe5
xs4902,BLe15
xs4902,CCo3
xs4902,CCo5
xs4902,DHo22
xs4902,HwF10
xs4902,JHs10
xs4902,JHs10
xs4902,JnL12
xs4902,MS18
xs4902,MS25
xs4902,MS30
xs4902,OlS18
xs4902,RD35
xs4902,RD43
xs4902,RdD10
xs4902,RdN10
xs4902,RVD10
nm0001035,AgH19
nm0001035,TMa11
xs7873,BE36
xs15879,RZe5
xs15879,RZe12
xs15879,RZe14
xs11934,JBC27
xs11934,JBC27
xs9131,RoS90
xs9131,RoS94
xs12116,JGi10
xs12116,JGi10
xs14560,PCz25
nm0000681,DDk10
nm0000681,IPK10
nm0000681,IPK10
nm0000681,IPK10
xs4732,HH23
xs7399,AML1
xs12652,JRu14
xs5252,AJa1
xs5252,CEd10
xs5252,DH5
xs5252,RA15
xs5252,RAl90
xs8121,BS1
xs8121,BS5
xs3709,ICt10
xs3709,SRf10
xs971,ARu4
xs971,ARu10
xs971,CMe10
xs971,JoM15
xs971,MkR10
xs971,RAl71
xs971,RAl73
xs971,RS1
xs971,SCa10
xs971,WHl6
xs971,WHl8
xs11028,HH14
xs2608,GiC10
xs2608,RbM10
xs2608,RRu15
xs2608,StD80
xs1225,GDo71
xs1225,PaH60
xs9759,FF9
xs9759,RoA32
xs13685,MkD11
xs2060,SMa10
xs13496,MBr10
xs15104,RdN10
xs7958,BiK10
xs9435,EK10
xs9435,GSt18
xs9435,NR11
xs2417,JyR2
xs2417,JyR4
xs2417,WA15
xs12144,JHo24
xs12144,JHo24
xs17042,WDT10
xs1413,RCo26
xs1413,RSt107
xs13881,MP8
xs1405,GTh26
